OBJECTID,hspf_id,Seg_Name,Shape_Length,Shape_Area,ForestStrmAcc,OBJECTID_1,hspf_id_1,Area_ac,FID_ElkHabitatge1000ftbySubWtsdb1,Seg_Name_1,Shape_Length_1,Shape_Area_1,StrmAccArea_ac,StrmAcc
1,1,Forest,138066.140624486930000,8641708.170342026300000,0.000000000000000,4,1,334.571225213630500,1,Forest,25962.748818132943000,1353962.908468032700000,0.000000000000000,0.000000000000000
2,1,Pasture,13580.269992545425000,261222.750964722950000,0.000000000000000,4,1,334.571225213630500,1,Forest,25962.748818132943000,1353962.908468032700000,0.000000000000000,0.000000000000000
4,2,Forest,97911.291424241557000,5336238.070856454800000,0.000000000000000,2,2,38.328056793982491,1,Forest,5874.694421047151100,155108.279917295990000,0.000000000000000,0.000000000000000
5,2,Pasture,6299.131862922861700,119212.559906723330000,0.000000000000000,2,2,38.328056793982491,1,Forest,5874.694421047151100,155108.279917295990000,0.000000000000000,0.000000000000000
7,4,Forest,102317.932335782320000,10287599.200269423000000,0.000000000000000,3,4,176.848217306331240,1,Forest,14100.995591650093000,715679.976688299680000,0.000000000000000,0.000000000000000
8,4,Pasture,12858.400384377370000,264136.731196767180000,0.000000000000000,3,4,176.848217306331240,1,Forest,14100.995591650093000,715679.976688299680000,0.000000000000000,0.000000000000000
11,6,Forest,130254.876730398770000,13031660.367920129000000,0.000000000000000,5,6,329.324903581952810,1,Forest,26733.026077347840000,1332731.779309661600000,0.000000000000000,0.000000000000000
13,8,Forest,36197.990443040981000,1663897.162339828400000,0.000000000000000,1,8,2.443004154462130,1,Forest,1013.355539056579000,9886.495792526613500,0.000000000000000,0.000000000000000
14,8,Pasture,512.047836000306350,3157.986732385067600,0.000000000000000,1,8,2.443004154462130,1,Forest,1013.355539056579000,9886.495792526613500,0.000000000000000,0.000000000000000
23,12,Forest,9960.645813298062400,433375.316327145210000,0.000000000000000,6,12,36.824855635922283,1,Forest,4012.983728840332300,149025.035278788450000,0.000000000000000,0.000000000000000
10,5,Forest,783.656084032364450,16968.216305378937000,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
16,9,Forest,23229.870570257150000,1116530.907342457900000,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
18,10,Forest,543.508863731634850,4379.698979957890500,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
20,11,Forest,19661.899525822562000,450775.780080765310000,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
21,11,Pasture,9.263123770792511,2.443844060454484,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
25,13,Forest,20413.060036536262000,1099232.100236183300000,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
27,14,Forest,656.063381055075520,5911.818112871023900,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
28,16,Forest,20607.734671735790000,639175.208749530720000,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
29,16,Pasture,2019.879562553490400,28621.368080715209000,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
31,17,Forest,516.137013418715130,3361.247060124234400,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
32,18,Forest,3602.322476561535000,65255.801877908736000,0.000000000000000,0,0,0.000000000000000,0,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
